v1,2013-01-14T21:05:01Z,-83.19132972,42.50300502
v2,2013-01-14T21:05:01Z,-83.18495249,42.50202848
v1,2013-01-14T21:05:02Z,-83.19120689,42.50300772
v2,2013-01-14T21:05:02Z,-83.18495288,42.50205015
v1,2013-01-14T21:05:03Z,-83.19108405,42.50301042
v2,2013-01-14T21:05:03Z,-83.18495326,42.50207182
v1,2013-01-14T21:05:04Z,-83.19096122,42.50301312
v2,2013-01-14T21:05:04Z,-83.18495364,42.50209349
v1,2013-01-14T21:05:05Z,-83.19083839,42.50301582
v2,2013-01-14T21:05:05Z,-83.18495402,42.50211517
v1,2013-01-14T21:05:06Z,-83.19071555,42.50301852
v2,2013-01-14T21:05:06Z,-83.18495441,42.50213684
v1,2013-01-14T21:05:07Z,-83.19059272,42.50302121
v2,2013-01-14T21:05:07Z,-83.18495479,42.50215851
v1,2013-01-14T21:05:08Z,-83.19046989,42.50302391
v2,2013-01-14T21:05:08Z,-83.18495517,42.50218018
v1,2013-01-14T21:05:09Z,-83.19034706,42.50302661
v2,2013-01-14T21:05:09Z,-83.18495556,42.50220186
v1,2013-01-14T21:05:10Z,-83.19022422,42.50302931
v2,2013-01-14T21:05:10Z,-83.18495594,42.50222353
v1,2013-01-14T21:05:11Z,-83.19010139,42.50303201
v2,2013-01-14T21:05:11Z,-83.18495632,42.50224520
v1,2013-01-14T21:05:12Z,-83.18997856,42.50303471
v2,2013-01-14T21:05:12Z,-83.18495671,42.50226687
v1,2013-01-14T21:05:13Z,-83.18985572,42.50303740
v2,2013-01-14T21:05:13Z,-83.18495709,42.50228855
v1,2013-01-14T21:05:14Z,-83.18973289,42.50304010
v2,2013-01-14T21:05:14Z,-83.18495747,42.50231022
v1,2013-01-14T21:05:15Z,-83.18961006,42.50304280
v2,2013-01-14T21:05:15Z,-83.18495785,42.50233189
v1,2013-01-14T21:05:16Z,-83.18948722,42.50304550
v2,2013-01-14T21:05:16Z,-83.18495824,42.50235357
v1,2013-01-14T21:05:17Z,-83.18936439,42.50304820
v2,2013-01-14T21:05:17Z,-83.18495862,42.50237524
v1,2013-01-14T21:05:18Z,-83.18924156,42.50305090
v2,2013-01-14T21:05:18Z,-83.18495900,42.50239691
v1,2013-01-14T21:05:19Z,-83.18911873,42.50305360
v2,2013-01-14T21:05:19Z,-83.18495939,42.50241858
v1,2013-01-14T21:05:20Z,-83.18899589,42.50305629
v2,2013-01-14T21:05:20Z,-83.18495977,42.50244026
v1,2013-01-14T21:05:21Z,-83.18887306,42.50305899
v2,2013-01-14T21:05:21Z,-83.18496015,42.50246193
v1,2013-01-14T21:05:22Z,-83.18875023,42.50306169
v2,2013-01-14T21:05:22Z,-83.18496054,42.50248360
v1,2013-01-14T21:05:23Z,-83.18862739,42.50306439
v2,2013-01-14T21:05:23Z,-83.18496092,42.50250527
v1,2013-01-14T21:05:24Z,-83.18850456,42.50306709
v2,2013-01-14T21:05:24Z,-83.18496130,42.50252695
v1,2013-01-14T21:05:25Z,-83.18838173,42.50306979
